index,player,nation,pos,squad,age,born,avg_90s_played,sca,Sca_90,pass_live,pass_dead,to,sh,fld,sca_def,gca,Gca_90,pass_live_goa,pass_dead_goal,to_goal,sh_goal,fld_goal,def_goal,unique_id
275,Adam Lallana,eng ENG,MFFW,Brighton,34-322,1988,8,22,2.75,22,0,0,0,0,0,2,0.25,2,0,0,0,0,0,99813635
276,Tariq Lamptey,gh GHA,DF,Brighton,22-179,2000,5,14,2.78,12,0,1,0,1,0,0,0,0,0,0,0,0,0,f4e433d4
277,Manuel Lanzini,ar ARG,MFFW,West Ham,30-041,1993,1.7,2,1.21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,26f6dca8
278,Aymeric Laporte,es ESP,DF,Manchester City,28-305,1994,6.2,12,1.94,11,0,0,1,0,0,0,0,0,0,0,0,0,0,119b9a8e
279,Juan Larios,es ESP,DF,Southampton,19-075,2004,1.7,1,0.59,1,0,0,0,0,0,1,0.59,1,0,0,0,0,0,cf7fb13a
280,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-137,1993,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450ab6fc
281,Roméo Lavia,be BEL,MF,Southampton,19-081,2004,15.2,23,1.51,19,1,0,1,2,0,1,0.07,1,0,0,0,0,0,ecad9aa5
282,Dexter Lembikisa,jm JAM,DF,Wolves,19-144,2003,0.3,1,3.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0bdda685
283,Mario Lemina,ga GAB,MF,Wolves,29-208,1993,6.6,4,0.6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2b471f99
284,Clément Lenglet,fr FRA,DF,Tottenham,27-284,1995,15.2,16,1.05,14,0,0,0,1,1,4,0.26,4,0,0,0,0,0,4f28a6ff
285,Bernd Leno,de GER,GK,Fulham,31-024,1992,25,2,0.08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2628fd2b
286,Jefferson Lerma,co COL,MFDF,Bournemouth,28-154,1994,25.3,28,1.11,24,2,0,2,0,0,0,0,0,0,0,0,0,0,9b5ce51a
287,Jamal Lewis,nir NIR,DF,Newcastle Utd,25-062,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,efb9215a
288,Rico Lewis,eng ENG,DFMF,Manchester City,18-127,2004,6,17,2.82,14,1,0,1,1,0,0,0,0,0,0,0,0,0,b57e066e
289,Keane Lewis-Potter,eng ENG,FWMF,Brentford,22-034,2001,3.6,8,2.24,2,0,2,4,0,0,2,0.56,0,0,0,2,0,0,41f08ac8
290,Victor Lindelöf,se SWE,DF,Manchester Utd,28-254,1994,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f5deef4c
291,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,30-103,1992,10.2,25,2.45,18,1,2,3,1,0,2,0.2,1,0,0,1,0,0,810e3c74
292,Diego Llorente,es ESP,DF,Leeds United,29-224,1993,7.2,6,0.83,5,0,0,1,0,0,1,0.14,1,0,0,0,0,0,bba30585
293,Hugo Lloris,fr FRA,GK,Tottenham,36-092,1986,21,5,0.24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8f62b6ee
294,Renan Lodi,br BRA,DF,Nott'ham Forest,24-354,1998,16.9,21,1.24,16,3,0,1,1,0,1,0.06,0,0,0,1,0,0,ed9f7cfe
295,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,27-064,1996,14,27,1.93,22,0,3,1,1,0,2,0.14,2,0,0,0,0,0,e97fd090
296,Sean Longstaff,eng ENG,MF,Newcastle Utd,25-149,1997,22.4,49,2.19,35,1,2,6,5,0,4,0.18,3,0,0,1,0,0,a2b105e0
297,Jamal Lowe,jm JAM,MFFW,Bournemouth,28-250,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b2856bc0
298,Douglas Luiz,br BRA,MF,Aston Villa,24-323,1998,21.7,68,3.14,42,19,3,1,1,2,8,0.37,5,1,0,0,0,2,6f7d826d
299,Saša Lukić,rs SRB,MF,Fulham,26-227,1996,2.3,4,1.71,3,0,0,0,0,1,1,0.43,0,0,0,0,0,1,c6e8cf1f
300,Lyanco,br BRA,DF,Southampton,26-055,1997,7.8,6,0.77,4,1,0,1,0,0,0,0,0,0,0,0,0,0,b5bf1770
301,Alexis Mac Allister,ar ARG,MF,Brighton,24-094,1998,21.2,61,2.88,45,6,3,3,3,1,7,0.33,6,0,1,0,0,0,83d074ff
302,James Maddison,eng ENG,MFFW,Leicester City,26-125,1996,18.1,88,4.86,53,16,5,4,8,2,8,0.44,7,1,0,0,0,0,ee38d9c5
303,Noni Madueke,eng ENG,FW,Chelsea,21-018,2002,2,7,3.46,4,0,2,1,0,0,0,0,0,0,0,0,0,0,bf34eebd
304,Harry Maguire,eng ENG,DF,Manchester Utd,30-023,1993,5.4,3,0.56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,d8931174
305,Riyad Mahrez,dz ALG,FWMF,Manchester City,32-035,1991,11.8,64,5.42,42,8,4,5,4,1,12,1.02,7,1,1,2,0,1,892d5bb1
306,Kobbie Mainoo,eng ENG,MF,Manchester Utd,17-343,2005,0.1,2,16.36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,c6220452
307,Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,25-211,1997,10.7,18,1.69,16,0,1,0,1,0,2,0.19,1,0,0,0,1,0,e3a5814e
308,Tyrell Malacia,nl NED,DF,Manchester Utd,23-223,1999,10.2,4,0.39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6b6c793c
309,Orel Mangala,be BEL,MF,Nott'ham Forest,25-010,1998,8.4,9,1.07,8,0,0,0,1,0,0,0,0,0,0,0,0,0,a572e291
310,Javier Manquillo,es ESP,DF,Newcastle Utd,28-327,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758dd7f0
311,Sekou Mara,fr FRA,FWMF,Southampton,20-241,2002,5,12,2.4,8,0,3,0,0,1,3,0.6,2,0,1,0,0,0,3544641e
312,Solly March,eng ENG,FWDF,Brighton,28-251,1994,23.9,94,3.93,62,8,11,7,4,2,8,0.33,7,0,0,1,0,0,bb5fbd2b
313,Emiliano Marcondes,dk DEN,MF,Bournemouth,28-019,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4d960fc3
314,Marquinhos,br BRA,MF,Arsenal,19-355,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59878425
315,Anthony Martial,fr FRA,FW,Manchester Utd,27-113,1995,5.1,9,1.77,7,0,1,0,1,0,4,0.79,2,0,1,0,1,0,8b788c01
316,Martinelli,br BRA,FW,Arsenal,21-283,2001,25,99,3.95,71,8,6,8,4,2,12,0.48,7,0,0,5,0,0,48a5a5d6
317,Emiliano Martínez,ar ARG,GK,Aston Villa,30-207,1992,24.4,4,0.16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7956236f
318,Lisandro Martínez,ar ARG,DF,Manchester Utd,25-069,1998,20.6,17,0.83,15,0,0,1,0,1,1,0.05,1,0,0,0,0,0,bac46a10
319,Pape Matar Sarr,sn SEN,MF,Tottenham,20-195,2002,1.6,2,1.25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,feb5d972
320,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-273,1997,7.7,6,0.78,3,0,0,1,2,0,1,0.13,0,0,0,0,1,0,50e6dc35
321,Joël Matip,cm CMR,DF,Liverpool,31-232,1991,9.1,12,1.31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,b217ef29
322,Neal Maupay,fr FRA,FW,Everton,26-226,1996,10.5,13,1.24,8,0,1,1,3,0,0,0,0,0,0,0,0,0,4bcf39f6
323,Kevin Mbabu,ch SUI,DFFW,Fulham,27-343,1995,1.6,3,1.87,2,0,1,0,0,0,1,0.62,1,0,0,0,0,0,493924a7
324,Bryan Mbeumo,cm CMR,FW,Brentford,23-233,1999,23.2,68,2.92,44,20,3,0,1,0,9,0.39,8,1,0,0,0,0,6afaebf2
325,James McArthur,sct SCO,MF,Crystal Palace,35-172,1987,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cee31595
326,John McGinn,sct SCO,MF,Aston Villa,28-161,1994,18.9,49,2.59,35,5,2,3,3,1,7,0.37,5,0,0,0,2,0,90f91999
327,Scott McKenna,sct SCO,DF,Nott'ham Forest,26-136,1996,16.2,9,0.55,9,0,0,0,0,0,1,0.06,1,0,0,0,0,0,4e5a4cbc
328,Weston McKennie,us USA,MF,Leeds United,24-212,1998,6.4,9,1.4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,01c3aff5
329,Dwight McNeil,eng ENG,FWMF,Everton,23-126,1999,17.8,63,3.55,35,20,4,1,2,1,6,0.34,2,2,0,0,1,1,fc15fb84
330,Scott McTominay,sct SCO,MF,Manchester Utd,26-110,1996,9.6,15,1.56,12,0,0,2,1,0,0,0,0,0,0,0,0,0,d93c2511
331,Ben Mee,eng ENG,DF,Brentford,33-188,1989,25.4,20,0.79,14,0,1,4,1,0,0,0,0,0,0,0,0,0,8df7a2fb
332,Edouard Mendy,sn SEN,GK,Chelsea,31-027,1992,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33887998
333,Nampalys Mendy,sn SEN,MF,Leicester City,30-278,1992,6.8,7,1.04,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1598599e
334,Chris Mepham,wls WAL,DF,Bournemouth,25-143,1997,19.4,5,0.26,4,0,0,1,0,0,0,0,0,0,0,0,0,0,fed96827
335,Illan Meslier,fr FRA,GK,Leeds United,23-026,2000,27,4,0.15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6b625ac2
336,Alexander Mighten,eng ENG,FW,Nott'ham Forest,20-351,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10ec4169
337,Luka Milivojević,rs SRB,MF,Crystal Palace,31-355,1991,4.6,2,0.43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2ce2508a
338,James Milner,eng ENG,DFMF,Liverpool,37-083,1986,8,32,4.02,23,4,3,2,0,0,3,0.38,2,1,0,0,0,0,2f90f6b8
339,Yerry Mina,co COL,DF,Everton,28-186,1994,2.6,1,0.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6d5701f2
340,Tyrone Mings,eng ENG,DF,Aston Villa,30-015,1993,24,17,0.71,13,0,0,2,2,0,4,0.17,2,0,0,1,1,0,8397a50c
341,Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-208,1999,22.1,20,0.9,16,1,1,0,0,2,2,0.09,2,0,0,0,0,0,5cbd1eb0
342,Kaoru Mitoma,jp JPN,FWMF,Brighton,25-312,1997,14.1,55,3.9,43,0,7,2,3,0,10,0.71,6,0,2,1,1,0,74618572
343,Aleksandar Mitrović,rs SRB,FW,Fulham,28-193,1994,20.1,53,2.63,24,0,9,13,6,1,9,0.45,2,0,1,4,2,0,3925dbd6
344,Kieffer Moore,wls WAL,FW,Bournemouth,30-232,1992,12.4,16,1.28,12,0,1,0,3,0,2,0.16,2,0,0,0,0,0,01ce9e70
345,Andrew Moran,ie IRL,FW,Brighton,19-164,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c4720845
346,Álex Moreno,es ESP,DF,Aston Villa,29-293,1993,6.4,18,2.81,17,0,1,0,0,0,2,0.31,2,0,0,0,0,0,16e9d0ea
347,Mason Mount,eng ENG,MFFW,Chelsea,24-077,1999,18.1,56,3.09,42,9,2,2,1,0,7,0.39,5,0,0,1,1,0,9674002f
348,Lucas Moura,br BRA,MFDF,Tottenham,30-227,1992,1.3,7,5.25,5,0,0,0,1,1,0,0,0,0,0,0,0,0,2b622f01
349,João Moutinho,pt POR,MF,Wolves,36-201,1986,18.4,63,3.42,47,13,0,2,1,0,3,0.16,3,0,0,0,0,0,f5a00fa4
350,Divin Mubama,eng ENG,FW,West Ham,18-154,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92868cb5
351,Mykhailo Mudryk,ua UKR,FW,Chelsea,22-082,2001,2.9,8,2.74,4,0,1,1,2,0,1,0.34,1,0,0,0,0,0,049a888d
352,Jacob Murphy,eng ENG,FW,Newcastle Utd,28-032,1995,8.5,30,3.52,26,0,1,0,3,0,3,0.35,3,0,0,0,0,0,de112b84
353,Enock Mwepu,zm ZAM,FWMF,Brighton,25-086,1998,2.4,7,2.96,6,0,1,0,0,0,2,0.85,1,0,1,0,0,0,1d5cab82
354,Vitaliy Mykolenko,ua UKR,DFMF,Everton,23-303,1999,23.8,38,1.59,34,1,0,2,1,0,2,0.08,1,0,0,1,0,0,30d4a2e5
355,Keylor Navas,cr CRC,GK,Nott'ham Forest,36-103,1986,7,1,0.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ecada4fc
356,Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-102,1996,11.9,9,0.76,9,0,0,0,0,0,1,0.08,1,0,0,0,0,0,6b47c5db
357,Reiss Nelson,eng ENG,FW,Arsenal,23-108,1999,1.2,11,9.34,7,0,2,1,1,0,3,2.55,2,0,0,1,0,0,c5bdb6e3
358,Neto,br BRA,GK,Bournemouth,33-252,1989,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a9dc785c
359,Pedro Neto,pt POR,FWMF,Wolves,23-019,2000,8.2,31,3.8,17,5,2,2,4,1,4,0.49,4,0,0,0,0,0,7ba2eaa9
360,Rúben Neves,pt POR,MF,Wolves,26-015,1997,26.6,58,2.18,43,4,3,2,2,4,2,0.08,2,0,0,0,0,0,44bfb6c5
361,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27-020,1996,2.8,1,0.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,242715
362,Rasmus Nissen,dk DEN,DF,Leeds United,25-260,1997,13.4,22,1.64,18,1,2,1,0,0,3,0.22,2,0,1,0,0,0,39769cff
363,Eddie Nketiah,eng ENG,FW,Arsenal,23-302,1999,11.1,28,2.52,13,0,6,6,3,0,3,0.27,2,0,0,0,1,0,a53649b7
364,Matheus Nunes,pt POR,MF,Wolves,24-213,1998,18.8,42,2.23,36,1,2,2,1,0,3,0.16,3,0,0,0,0,0,e6af02e0
365,Darwin Núñez,uy URU,FW,Liverpool,23-277,1999,15,47,3.14,30,1,4,7,5,0,2,0.13,2,0,0,0,0,0,4d77b365
366,Ethan Nwaneri,eng ENG,FW,Arsenal,16-007,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7f94982c
367,Christian Nørgaard,dk DEN,MF,Brentford,29-018,1994,15.4,29,1.88,21,1,1,4,2,0,7,0.45,3,0,0,3,1,0,df0a4c90
368,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,24-165,1998,6.5,21,3.24,14,0,1,1,3,2,0,0,0,0,0,0,0,0,089667a5
369,Angelo Ogbonna,it ITA,DF,West Ham,34-309,1988,7.9,4,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,74b2cd7e
370,Michael Olise,fr FRA,FWMF,Crystal Palace,21-106,2001,20.6,84,4.08,43,23,8,3,5,2,6,0.29,2,4,0,0,0,0,c4486bac
371,Robin Olsen,se SWE,GK,Aston Villa,33-079,1990,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e7ee38c3
372,Amadou Onana,be BEL,MF,Everton,21-224,2001,22.9,33,1.44,25,0,1,2,4,1,1,0.04,1,0,0,0,0,0,828657ff
373,Josh Onomah,eng ENG,MF,Fulham,25-335,1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6612cd8c
374,Paul Onuachu,ng NGA,FW,Southampton,28-304,1994,3,6,2.01,5,0,0,0,1,0,0,0,0,0,0,0,0,0,c06d1086
375,Frank Onyeka,ng NGA,MF,Brentford,25-086,1998,5.6,15,2.67,10,0,0,1,4,0,5,0.89,4,0,0,0,1,0,2944f86f
376,Mislav Oršić,hr CRO,MF,Southampton,30-089,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ee950928
377,Dango Ouattara,bf BFA,MF,Bournemouth,21-045,2002,7.4,16,2.17,8,0,2,2,3,1,4,0.54,1,0,1,1,1,0,2f9e4435
378,Alex Oxlade-Chamberlain,eng ENG,FWMF,Liverpool,29-225,1993,3.5,9,2.59,8,0,0,1,0,0,0,0,0,0,0,0,0,0,38c7feef
379,David Ozoh,,FW,Crystal Palace,17-301,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d00d45ab
380,João Palhinha,pt POR,MF,Fulham,27-262,1995,23.7,20,0.84,13,0,0,3,0,4,0,0,0,0,0,0,0,0,a78ff07f
381,Cole Palmer,eng ENG,FWMF,Manchester City,20-326,2002,1.3,5,3.78,4,0,1,0,0,0,0,0,0,0,0,0,0,0,dc7f8a28
382,Emerson Palmieri,it ITA,DF,West Ham,28-237,1994,9,17,1.9,15,0,1,1,0,0,0,0,0,0,0,0,0,0,e0bc6fdc
383,Lucas Paquetá,br BRA,MF,West Ham,25-213,1997,14.6,50,3.42,36,1,2,6,4,1,6,0.41,2,0,0,3,1,0,9b6f7fd5
384,Thomas Partey,gh GHA,MF,Arsenal,29-288,1993,20.7,61,2.95,52,2,1,2,1,3,5,0.24,5,0,0,0,0,0,529f49ab
385,Nathan Patterson,sct SCO,DFMF,Everton,21-163,2001,11,17,1.55,13,1,0,0,2,1,0,0,0,0,0,0,0,0,230f0471
386,Ben Pearson,eng ENG,MF,Bournemouth,28-083,1995,3.2,2,0.63,1,0,0,1,0,0,0,0,0,0,0,0,0,0,a6b461e7
387,Facundo Pellistri,uy URU,FWMF,Manchester Utd,21-098,2001,0.5,1,1.84,1,0,0,0,0,0,1,1.84,1,0,0,0,0,0,ac7e7b1c
388,Andreas Pereira,br BRA,MF,Fulham,27-086,1996,24.9,101,4.06,44,42,2,8,5,0,10,0.4,3,5,0,2,0,0,6639e500
389,Ricardo Pereira,pt POR,DFMF,Leicester City,29-173,1993,3.1,12,3.87,12,0,0,0,0,0,1,0.32,1,0,0,0,0,0,75a72a99
390,Ayoze Pérez,es ESP,MFFW,Leicester City,29-242,1993,4.2,14,3.29,11,2,0,0,1,0,2,0.47,1,0,0,0,1,0,819aa8e7
391,Ivan Perišić,hr CRO,DFMF,Tottenham,34-054,1989,17.5,52,2.97,35,15,0,1,1,0,5,0.29,2,3,0,0,0,0,6fe90922
392,Romain Perraud,fr FRA,DF,Southampton,25-187,1997,17.9,36,2.01,21,1,4,8,1,1,5,0.28,3,0,1,0,1,0,6dfd8f05
393,Máximo Perrone,ar ARG,MF,Manchester City,20-080,2003,0.2,1,4.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53552942
394,Kalvin Phillips,eng ENG,MF,Manchester City,27-116,1995,0.7,1,1.48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4f565d77
395,Nathaniel Phillips,eng ENG,DF,Liverpool,26-007,1997,0.7,1,1.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,515ebe8d
396,Jordan Pickford,eng ENG,GK,Everton,29-021,1994,27,8,0.3,4,4,0,0,0,0,1,0.04,1,0,0,0,0,0,4806ec67
397,Ethan Pinnock,jm JAM,DF,Brentford,29-303,1993,19,13,0.68,9,2,0,2,0,0,4,0.21,4,0,0,0,0,0,e541326e
398,Daniel Podence,pt POR,FWMF,Wolves,27-158,1995,16.8,61,3.64,41,6,3,8,2,1,2,0.12,1,0,1,0,0,0,7fcc71d8
399,Nick Pope,eng ENG,GK,Newcastle Utd,30-343,1992,25.2,2,0.08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4b40d9ca
400,Pedro Porro,es ESP,DF,Tottenham,23-196,1999,3.7,13,3.52,12,0,0,1,0,0,2,0.54,2,0,0,0,0,0,27d0a506
401,Dennis Praet,be BEL,MFFW,Leicester City,28-318,1994,6,10,1.67,9,1,0,0,0,0,0,0,0,0,0,0,0,0,86695068
402,Isaac Price,nir NIR,MF,Everton,19-183,2003,0.4,2,5.45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,b9403c99
403,Christian Pulisic,us USA,FWDF,Chelsea,24-191,1998,7.7,22,2.88,20,0,0,2,0,0,3,0.39,3,0,0,0,0,0,1bf33a9a
404,Aaron Ramsdale,eng ENG,GK,Arsenal,24-318,1998,28,2,0.07,2,0,0,0,0,0,0,0,0,0,0,0,0,0,466fb2c5
405,Jacob Ramsey,eng ENG,MFFW,Aston Villa,21-304,2001,18.6,53,2.84,44,0,3,1,4,1,4,0.21,2,0,1,0,1,0,1544f145
406,Marcus Rashford,eng ENG,FW,Manchester Utd,25-148,1997,23.6,62,2.62,38,0,12,8,3,1,8,0.34,5,0,2,0,1,0,a1d5bd30
407,David Raya,es ESP,GK,Brentford,27-194,1995,27,9,0.33,6,3,0,0,0,0,1,0.04,0,1,0,0,0,0,98ea5115
408,Tim Ream,us USA,DF,Fulham,35-174,1987,27,21,0.78,20,0,0,0,0,1,0,0,0,0,0,0,0,0,28b40c9c
409,Nathan Redmond,eng ENG,DF,Southampton,29-022,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ab651565
410,Harrison Reed,eng ENG,MF,Fulham,28-060,1995,23.7,49,2.07,42,2,2,1,2,0,3,0.13,2,0,1,0,0,0,803ae100
411,Bobby Reid,jm JAM,FWDF,Fulham,30-054,1993,22.9,48,2.1,30,1,3,5,7,2,3,0.13,1,0,0,1,0,1,0f7533cd
412,Declan Rice,eng ENG,MF,West Ham,24-073,1999,26,76,2.92,64,5,1,1,2,3,4,0.15,4,0,0,0,0,0,1c7012b8
